date,open,high,low,close,volume,Name
2013-09-09,48.36,49.19,48.35,49.19,10510038,AIG
2013-09-09,25.51,25.98,25.51,25.91,2418490,PGR
2013-09-09,42.09,42.705,41.92,42.68,1133233,PFG
2013-09-09,96.22,96.79,96.21,96.45,3532093,MCD
2013-09-09,50.59,51.08,50.43,50.8,1167455,CAH
2013-09-09,31.2208,31.79,31.2,31.655,49610584,MSFT
2013-09-09,65.49,66.48,65.34,66.46,1885814,COF
2013-09-09,32.04,32.43,31.82,32.17,1253931,FOX
2013-09-09,112.88,114.14,112.71,113.98,153034,SRCL
2013-09-09,60.65,60.99,60.24,60.86,506600,WYN
2013-09-09,32.16,32.32,32.0,32.12,2136626,PEG
2013-09-09,87.27,87.62,86.5433,86.71,1246738,ANTM
2013-09-09,41.36,41.93,41.35,41.93,1410836,MMC
2013-09-09,75.46,75.97,74.85,75.05,1070645,SNI
2013-09-09,62.19,62.71,61.92,62.2,488279,ALB
2013-09-09,442.3069,445.3199,441.6512,444.471,2466701,GOOGL
2013-09-09,33.5,33.8,33.46,33.8,5716185,ABT
2013-09-09,61.43,62.41,61.43,62.24,2975581,TWX
2013-09-09,30.95,31.66,30.94,31.64,3494329,HIG
2013-09-09,104.75,105.79,104.66,105.79,906817,BXP
2013-09-09,79.25,79.48,78.79,79.38,3757080,PEP
2013-09-09,62.75,63.5,62.63,63.49,773757,OMC
2013-09-09,51.34,51.94,51.26,51.92,892831,OKE
2013-09-09,35.46,36.56,35.1,36.495,6829983,MYL
2013-09-09,45.05,45.535,44.82,45.47,1089301,EIX
2013-09-09,48.01,48.53,47.98,48.47,4871574,MET
2013-09-09,57.06,58.59,57.04,58.25,834685,URI
2013-09-09,45.41,45.68,44.715,44.94,1606133,FIS
2013-09-09,77.19,78.44,77.09,78.39,1391200,RRC
2013-09-09,68.32,68.43,67.5,67.6,620559,UHS
2013-09-09,66.82,67.7,66.61,67.7,807959,AON
2013-09-09,58.31,58.79,58.15,58.66,941107,ABC
2013-09-09,61.6,62.56,61.0,62.51,263858,MAA
2013-09-09,57.13,57.96,57.12,57.7,532964,IT
2013-09-09,25.52,25.76,25.38,25.66,4285043,CSX
2013-09-09,22.83,23.15,22.83,23.02,1978817,CNP
2013-09-09,28.23,29.07,28.23,28.96,2614102,TXT
2013-09-09,49.54,50.4025,49.54,50.22,3491476,WBA
2013-09-09,92.76,93.81,92.76,93.79,630907,ECL
2013-09-09,47.96,48.24,47.95,48.16,1364270,HAS
2013-09-09,47.59,48.0485,47.29,47.95,1668867,A
2013-09-09,23.61,23.98,23.58,23.92,22724511,CSCO
2013-09-09,57.43,57.99,57.42,57.74,364503,HRS
2013-09-09,28.235,28.36,28.1,28.3,21989034,PFE
2013-09-09,19.2,19.71,19.19,19.71,3669901,GGP
2013-09-09,72.16,74.27,72.16,74.26,4212093,AMT
